name,feature_mode,embedding_backend,embedding_dim,regressor,n_iter,cv_mae,cv_mse,cv_r2,test_mse,test_mae,test_r2,domain_aware_test_mse,domain_aware_test_mae,domain_aware_test_r2,domain_aware_acc_within_2.5
hybrid_tfidf_hgb,hybrid,tfidf,384,hgb,26,1.2885873953214655,2.7200406208349674,0.3210824951033554,2.6011619403487822,1.2504352910522751,0.3300112760149192,2.44472834943065,1.1963857225475216,0.37030432364946586,0.8947253705318221
linguistic_extra_trees,linguistic,tfidf,256,extra_trees,24,1.2965608887397464,2.8080416093571445,0.2991497709109174,2.6551125926806134,1.2470794736728548,0.31611505211848645,2.527930103786821,1.2103119760509353,0.34887380970501836,0.8862249346120313
hybrid_transformer_hgb,hybrid,transformer,768,hgb,24,1.3017672512653866,2.749892082669605,0.3137204920000964,2.6195206349325697,1.2630989357934312,0.32528257451908915,2.487281730872454,1.2003286250406373,0.35934372742852416,0.8910200523103748
embedding_tfidf_mlp,embedding,tfidf,384,mlp,24,1.3115848192012562,2.8425797264804453,0.2905705733709197,2.6947581006340173,1.2774931537162835,0.30590344519259094,2.702530060330299,1.2689042957355399,0.30390159929480076,0.8790322580645161
embedding_transformer_ridge,embedding,transformer,768,ridge,24,1.3263192599205005,2.838485735230342,0.2913893096225844,2.7475040730916764,1.2969162152367444,0.2923175141384403,2.5931603789266524,1.2431499017871614,0.33207226108622245,0.8860069747166521
blend_top_models,ensemble,mixed,-1,weighted_average,0,,,,2.5188319969438964,1.2290527584617774,0.3512172351180296,,,,
